sub_basin_number,basin_name,subbasin_name,subbasin,acres,sq_miles,priority,popup_html
3-013,Cuyama Valley,Cuyama Valley,Cuyama Valley,"241,730",378,High,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Cuyama Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Cuyama Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">241,730</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">378</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-013</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">High</td></tr></table>"
6-045,Tehachapi Valley East,Tehachapi Valley East,Tehachapi Valley East,"23,967",37,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Tehachapi Valley East</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Tehachapi Valley East</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">23,967</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">37</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-045</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
6-037,Coyote Lake Valley,Coyote Lake Valley,Coyote Lake Valley,"88,102",138,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Coyote Lake Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Coyote Lake Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">88,102</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">138</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-037</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
3-047,Big Spring Area,Big Spring Area,Big Spring Area,"7,324",11,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Big Spring Area</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Big Spring Area</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">7,324</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">11</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-047</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
6-036.01,Langford Valley,"Langford Valley, Langford Well Lake",Langford Well Lake,"19,312",30,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Langford Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Langford Well Lake</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">19,312</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">30</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-036.01</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
3-046,Rafael Valley,Rafael Valley,Rafael Valley,"2,993",5,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Rafael Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Rafael Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">2,993</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">5</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-046</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
3-009,San Luis Obispo Valley,San Luis Obispo Valley,San Luis Obispo Valley,"12,721",20,High,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">San Luis Obispo Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">San Luis Obispo Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">12,721</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">20</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-009</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">High</td></tr></table>"
6-036.02,Langford Valley,"Langford Valley, Irwin",Irwin,"10,480",16,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Langford Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Irwin</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">10,480</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">16</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-036.02</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
6-031,Kelso Valley,Kelso Valley,Kelso Valley,"254,687",398,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Kelso Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Kelso Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">254,687</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">398</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-031</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
6-047,Harper Valley,Harper Valley,Harper Valley,"409,502",640,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Harper Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Harper Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">409,502</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">640</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-047</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
3-043,Rinconada Valley,Rinconada Valley,Rinconada Valley,"2,578",4,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Rinconada Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Rinconada Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">2,578</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">4</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-043</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
3-044,Pozo Valley,Pozo Valley,Pozo Valley,"6,849",11,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Pozo Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Pozo Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">6,849</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">11</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-044</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
3-042,Chorro Valley,Chorro Valley,Chorro Valley,"1,550",2,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Chorro Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Chorro Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">1,550</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">2</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-042</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
6-035,Cronise Valley,Cronise Valley,Cronise Valley,"126,300",197,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Cronise Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Cronise Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">126,300</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">197</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-035</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
7-045,Piute Valley,Piute Valley,Piute Valley,"175,192",274,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Piute Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Piute Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">175,192</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">274</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-045</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
3-041,Morro Valley,Morro Valley,Morro Valley,644,1,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Morro Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Morro Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">644</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">1</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-041</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
6-077,Grass Valley,Grass Valley,Grass Valley,"9,975",16,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Grass Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Grass Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">9,975</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">16</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-077</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
3-040,Toro Valley,Toro Valley,Toro Valley,720,1,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Toro Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Toro Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">720</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">1</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-040</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
6-048,Goldstone Valley,Goldstone Valley,Goldstone Valley,"28,090",44,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Goldstone Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Goldstone Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">28,090</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">44</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-048</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
6-069,Kelso Lander Valley,Kelso Lander Valley,Kelso Lander Valley,"11,165",17,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Kelso Lander Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Kelso Lander Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">11,165</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">17</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-069</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
6-049,Superior Valley,Superior Valley,Superior Valley,"120,320",188,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Superior Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Superior Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">120,320</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">188</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-049</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
3-019,Carrizo Plain,Carrizo Plain,Carrizo Plain,"210,628",329,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Carrizo Plain</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Carrizo Plain</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">210,628</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">329</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-019</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-026,Walker Basin Creek Valley,Walker Basin Creek Valley,Walker Basin Creek Valley,"7,668",12,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Walker Basin Creek Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Walker Basin Creek Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">7,668</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">12</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-026</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
